"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"112855987-112765987",1.5,0.584962500721156,2.36083059881389,0.247778261182758,0.804305975597783,NA
"112855987-112770987",0,NA,NA,NA,NA,NA
"112855987-112775987",0,NA,NA,NA,NA,NA
"112855987-112780987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112855987-112785987",2,1,2.51782469524219,0.397168238872885,0.691243401815098,NA
"112855987-112790987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112855987-112795987",0,NA,NA,NA,NA,NA
"112855987-112805987",1.5,0.584962500721156,2.59560782631777,0.225366287923013,0.821694335406535,NA
"112855987-112810987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112855987-112815987",0.5,-1,2.30484172213719,-0.43386927197445,0.664383374684624,NA
"112855987-112830987",1,0,2.37315904673056,0,1,NA
"112855987-112885987",2,1,2.78967616960906,0.358464545417161,0.719995696030497,NA
